Date,ExpiryDate,EntryDay,ExpiryDay,WTE
10-04-2026,28-04-2026,Friday,Tuesday,3
13-04-2026,28-04-2026,Monday,Tuesday,3
15-04-2026,28-04-2026,Wednesday,Tuesday,2
16-04-2026,28-04-2026,Thursday,Tuesday,2
17-04-2026,28-04-2026,Friday,Tuesday,2
20-04-2026,28-04-2026,Monday,Tuesday,2
21-04-2026,28-04-2026,Tuesday,Tuesday,2
22-04-2026,28-04-2026,Wednesday,Tuesday,1
23-04-2026,28-04-2026,Thursday,Tuesday,1
24-04-2026,28-04-2026,Friday,Tuesday,1
27-04-2026,28-04-2026,Monday,Tuesday,1
28-04-2026,28-04-2026,Tuesday,Tuesday,1
29-04-2026,26-05-2026,Wednesday,Tuesday,4
30-04-2026,26-05-2026,Thursday,Tuesday,4
04-05-2026,26-05-2026,Monday,Tuesday,4
05-05-2026,26-05-2026,Tuesday,Tuesday,4
06-05-2026,26-05-2026,Wednesday,Tuesday,3
07-05-2026,26-05-2026,Thursday,Tuesday,3
08-05-2026,26-05-2026,Friday,Tuesday,3
11-05-2026,26-05-2026,Monday,Tuesday,3
12-05-2026,26-05-2026,Tuesday,Tuesday,3
13-05-2026,26-05-2026,Wednesday,Tuesday,2
14-05-2026,26-05-2026,Thursday,Tuesday,2
15-05-2026,26-05-2026,Friday,Tuesday,2
18-05-2026,26-05-2026,Monday,Tuesday,2
19-05-2026,26-05-2026,Tuesday,Tuesday,2
20-05-2026,26-05-2026,Wednesday,Tuesday,1
21-05-2026,26-05-2026,Thursday,Tuesday,1
22-05-2026,26-05-2026,Friday,Tuesday,1
25-05-2026,26-05-2026,Monday,Tuesday,1
26-05-2026,26-05-2026,Tuesday,Tuesday,1
27-05-2026,30-06-2026,Wednesday,Tuesday,5
29-05-2026,30-06-2026,Friday,Tuesday,5
01-06-2026,30-06-2026,Monday,Tuesday,5
01-06-2026,30-06-2026,Monday,Monday,5
02-06-2026,30-06-2026,Tuesday,Tuesday,5
03-06-2026,30-06-2026,Wednesday,Tuesday,4
04-06-2026,30-06-2026,Thursday,Tuesday,4
05-06-2026,30-06-2026,Friday,Tuesday,4
08-06-2026,30-06-2026,Monday,Tuesday,4
09-06-2026,30-06-2026,Tuesday,Tuesday,4
10-06-2026,30-06-2026,Wednesday,Tuesday,3
11-06-2026,30-06-2026,Thursday,Tuesday,3
12-06-2026,30-06-2026,Friday,Tuesday,3
15-06-2026,30-06-2026,Monday,Tuesday,3
16-06-2026,30-06-2026,Tuesday,Tuesday,3
17-06-2026,30-06-2026,Wednesday,Tuesday,2
18-06-2026,30-06-2026,Thursday,Tuesday,2
19-06-2026,30-06-2026,Friday,Tuesday,2
22-06-2026,30-06-2026,Monday,Tuesday,2
23-06-2026,30-06-2026,Tuesday,Tuesday,2
24-06-2026,30-06-2026,Wednesday,Tuesday,1
25-06-2026,30-06-2026,Thursday,Tuesday,1
29-06-2026,30-06-2026,Monday,Tuesday,1
30-06-2026,30-06-2026,Tuesday,Tuesday,1
01-07-2026,28-07-2026,Wednesday,Tuesday,4
02-07-2026,28-07-2026,Thursday,Tuesday,4
03-07-2026,28-07-2026,Friday,Tuesday,4
06-07-2026,28-07-2026,Monday,Tuesday,4
07-07-2026,28-07-2026,Tuesday,Tuesday,4
08-07-2026,28-07-2026,Wednesday,Tuesday,3
09-07-2026,28-07-2026,Thursday,Tuesday,3
10-07-2026,28-07-2026,Friday,Tuesday,3
13-07-2026,28-07-2026,Monday,Tuesday,3
14-07-2026,28-07-2026,Tuesday,Tuesday,3
15-07-2026,28-07-2026,Wednesday,Tuesday,2
16-07-2026,28-07-2026,Thursday,Tuesday,2
17-07-2026,28-07-2026,Friday,Tuesday,2
20-07-2026,28-07-2026,Monday,Tuesday,2
21-07-2026,28-07-2026,Tuesday,Tuesday,2
22-07-2026,28-07-2026,Wednesday,Tuesday,1
23-07-2026,28-07-2026,Thursday,Tuesday,1
24-07-2026,28-07-2026,Friday,Tuesday,1
27-07-2026,28-07-2026,Monday,Tuesday,1
28-07-2026,28-07-2026,Tuesday,Tuesday,1
29-07-2026,25-08-2026,Wednesday,Tuesday,4
30-07-2026,25-08-2026,Thursday,Tuesday,4
31-07-2026,25-08-2026,Friday,Tuesday,4
03-08-2026,25-08-2026,Monday,Tuesday,4
04-08-2026,25-08-2026,Tuesday,Tuesday,4
05-08-2026,25-08-2026,Wednesday,Tuesday,3
06-08-2026,25-08-2026,Thursday,Tuesday,3
07-08-2026,25-08-2026,Friday,Tuesday,3
10-08-2026,25-08-2026,Monday,Tuesday,3
11-08-2026,25-08-2026,Tuesday,Tuesday,3
12-08-2026,25-08-2026,Wednesday,Tuesday,2
13-08-2026,25-08-2026,Thursday,Tuesday,2
14-08-2026,25-08-2026,Friday,Tuesday,2
17-08-2026,25-08-2026,Monday,Tuesday,2
18-08-2026,25-08-2026,Tuesday,Tuesday,2
19-08-2026,25-08-2026,Wednesday,Tuesday,1
20-08-2026,25-08-2026,Thursday,Tuesday,1
21-08-2026,25-08-2026,Friday,Tuesday,1
24-08-2026,25-08-2026,Monday,Tuesday,1
25-08-2026,25-08-2026,Tuesday,Tuesday,1
26-08-2026,29-09-2026,Wednesday,Tuesday,5
27-08-2026,29-09-2026,Thursday,Tuesday,5
28-08-2026,29-09-2026,Friday,Tuesday,5
31-08-2026,29-09-2026,Monday,Tuesday,5
01-09-2026,29-09-2026,Tuesday,Tuesday,5
02-09-2026,29-09-2026,Wednesday,Tuesday,4
03-09-2026,29-09-2026,Thursday,Tuesday,4
04-09-2026,29-09-2026,Friday,Tuesday,4
07-09-2026,29-09-2026,Monday,Tuesday,4
08-09-2026,29-09-2026,Tuesday,Tuesday,4
09-09-2026,29-09-2026,Wednesday,Tuesday,3
10-09-2026,29-09-2026,Thursday,Tuesday,3
11-09-2026,29-09-2026,Friday,Tuesday,3
15-09-2026,29-09-2026,Tuesday,Tuesday,3
16-09-2026,29-09-2026,Wednesday,Tuesday,2
17-09-2026,29-09-2026,Thursday,Tuesday,2
18-09-2026,29-09-2026,Friday,Tuesday,2
21-09-2026,29-09-2026,Monday,Tuesday,2
22-09-2026,29-09-2026,Tuesday,Tuesday,2
23-09-2026,29-09-2026,Wednesday,Tuesday,1
24-09-2026,29-09-2026,Thursday,Tuesday,1
25-09-2026,29-09-2026,Friday,Tuesday,1
28-09-2026,29-09-2026,Monday,Tuesday,1
29-09-2026,29-09-2026,Tuesday,Tuesday,1
30-09-2026,27-10-2026,Wednesday,Tuesday,4
01-10-2026,27-10-2026,Thursday,Tuesday,4
05-10-2026,27-10-2026,Monday,Tuesday,4
06-10-2026,27-10-2026,Tuesday,Tuesday,4
07-10-2026,27-10-2026,Wednesday,Tuesday,3
08-10-2026,27-10-2026,Thursday,Tuesday,3
09-10-2026,27-10-2026,Friday,Tuesday,3
12-10-2026,27-10-2026,Monday,Tuesday,3
13-10-2026,27-10-2026,Tuesday,Tuesday,3
14-10-2026,27-10-2026,Wednesday,Tuesday,2
15-10-2026,27-10-2026,Thursday,Tuesday,2
16-10-2026,27-10-2026,Friday,Tuesday,2
19-10-2026,27-10-2026,Monday,Tuesday,2
21-10-2026,27-10-2026,Wednesday,Tuesday,1
22-10-2026,27-10-2026,Thursday,Tuesday,1
23-10-2026,27-10-2026,Friday,Tuesday,1
26-10-2026,27-10-2026,Monday,Tuesday,1
27-10-2026,27-10-2026,Tuesday,Tuesday,1
28-10-2026,23-11-2026,Wednesday,Monday,4
29-10-2026,23-11-2026,Thursday,Monday,4
30-10-2026,23-11-2026,Friday,Monday,4
02-11-2026,23-11-2026,Monday,Monday,4
03-11-2026,23-11-2026,Tuesday,Monday,3
04-11-2026,23-11-2026,Wednesday,Monday,3
05-11-2026,23-11-2026,Thursday,Monday,3
06-11-2026,23-11-2026,Friday,Monday,3
09-11-2026,23-11-2026,Monday,Monday,3
11-11-2026,23-11-2026,Wednesday,Monday,2
12-11-2026,23-11-2026,Thursday,Monday,2
13-11-2026,23-11-2026,Friday,Monday,2
16-11-2026,23-11-2026,Monday,Monday,2
17-11-2026,23-11-2026,Tuesday,Monday,1
18-11-2026,23-11-2026,Wednesday,Monday,1
19-11-2026,23-11-2026,Thursday,Monday,1
20-11-2026,23-11-2026,Friday,Monday,1
23-11-2026,23-11-2026,Monday,Monday,1
25-11-2026,29-12-2026,Wednesday,Tuesday,5
26-11-2026,29-12-2026,Thursday,Tuesday,5
27-11-2026,29-12-2026,Friday,Tuesday,5
30-11-2026,29-12-2026,Monday,Tuesday,5
01-12-2026,29-12-2026,Tuesday,Tuesday,5
02-12-2026,29-12-2026,Wednesday,Tuesday,4
03-12-2026,29-12-2026,Thursday,Tuesday,4
04-12-2026,29-12-2026,Friday,Tuesday,4
07-12-2026,29-12-2026,Monday,Tuesday,4
08-12-2026,29-12-2026,Tuesday,Tuesday,4
09-12-2026,29-12-2026,Wednesday,Tuesday,3
10-12-2026,29-12-2026,Thursday,Tuesday,3
11-12-2026,29-12-2026,Friday,Tuesday,3
14-12-2026,29-12-2026,Monday,Tuesday,3
15-12-2026,29-12-2026,Tuesday,Tuesday,3
16-12-2026,29-12-2026,Wednesday,Tuesday,2
17-12-2026,29-12-2026,Thursday,Tuesday,2
18-12-2026,29-12-2026,Friday,Tuesday,2
21-12-2026,29-12-2026,Monday,Tuesday,2
22-12-2026,29-12-2026,Tuesday,Tuesday,2
23-12-2026,29-12-2026,Wednesday,Tuesday,1
24-12-2026,29-12-2026,Thursday,Tuesday,1
28-12-2026,29-12-2026,Monday,Tuesday,1
29-12-2026,29-12-2026,Tuesday,Tuesday,1
