Date,ExpiryDate,EntryDay,ExpiryDay,DTE
10-04-2026,13-04-2026,Friday,Monday,1
13-04-2026,13-04-2026,Monday,Monday,0
15-04-2026,21-04-2026,Wednesday,Tuesday,4
16-04-2026,21-04-2026,Thursday,Tuesday,3
17-04-2026,21-04-2026,Friday,Tuesday,2
20-04-2026,21-04-2026,Monday,Tuesday,1
21-04-2026,21-04-2026,Tuesday,Tuesday,0
22-04-2026,28-04-2026,Wednesday,Tuesday,4
23-04-2026,28-04-2026,Thursday,Tuesday,3
24-04-2026,28-04-2026,Friday,Tuesday,2
27-04-2026,28-04-2026,Monday,Tuesday,1
28-04-2026,28-04-2026,Tuesday,Tuesday,0
29-04-2026,05-05-2026,Wednesday,Tuesday,4
30-04-2026,05-05-2026,Thursday,Tuesday,3
04-05-2026,05-05-2026,Monday,Tuesday,1
05-05-2026,05-05-2026,Tuesday,Tuesday,0
06-05-2026,12-05-2026,Wednesday,Tuesday,4
07-05-2026,12-05-2026,Thursday,Tuesday,3
08-05-2026,12-05-2026,Friday,Tuesday,2
11-05-2026,12-05-2026,Monday,Tuesday,1
12-05-2026,12-05-2026,Tuesday,Tuesday,0
13-05-2026,19-05-2026,Wednesday,Tuesday,4
14-05-2026,19-05-2026,Thursday,Tuesday,3
15-05-2026,19-05-2026,Friday,Tuesday,2
18-05-2026,19-05-2026,Monday,Tuesday,1
19-05-2026,19-05-2026,Tuesday,Tuesday,0
20-05-2026,26-05-2026,Wednesday,Tuesday,4
21-05-2026,26-05-2026,Thursday,Tuesday,3
22-05-2026,26-05-2026,Friday,Tuesday,2
25-05-2026,26-05-2026,Monday,Tuesday,1
26-05-2026,26-05-2026,Tuesday,Tuesday,0
27-05-2026,02-06-2026,Wednesday,Tuesday,4
29-05-2026,02-06-2026,Friday,Tuesday,2
01-06-2026,02-06-2026,Monday,Tuesday,1
01-06-2026,02-06-2026,Monday,Monday,1
02-06-2026,02-06-2026,Tuesday,Tuesday,0
